Make,Model,Year,Min Price,Max Price
BMW,7 Series,2008,5500000,5500000
Daewoo,Racer,1993,335000,335000
Daihatsu,Charade,1984,325000,325000
Daihatsu,Charade,1993,235000,235000
Daihatsu,Cuore,2004,450000,450000
Daihatsu,Cuore,2007,500000,560000
Daihatsu,Cuore,2012,900000,900000
Daihatsu,Cuore CX,2002,400000,400000
Daihatsu,Cuore CX,2005,485000,485000
Daihatsu,Cuore CX,2007,600000,600000
Daihatsu,Cuore CX,2008,590000,590000
Daihatsu,Mira,2007,600000,750000
Daihatsu,Mira,2008,950000,950000
Daihatsu,Mira,2011,950000,1305000
Daihatsu,Mira,2013,1050000,1050000
Daihatsu,Mira,2015,1225000,1230000
Daihatsu,Mira,2016,1325000,1325000
Daihatsu,Move,2010,1100000,1100000
Daihatsu,Move,2011,1095000,1095000
Daihatsu,Move,2013,1175000,1175000
Honda,Accord,1994,725000,725000
Honda,Accord,2002,1300000,1300000
Honda,Accord,2005,1430000,1430000
Honda,Accord,2006,1800000,2400000
Honda,Accord,2008,4300000,4300000
Honda,Accord,2013,750000,750000
Honda,City,1999,600000,600000
Honda,City,2002,575000,650000
Honda,City,2004,825000,825000
Honda,City,2005,860000,936000
Honda,City,2006,800000,900000
Honda,City,2007,850000,850000
Honda,City,2008,950000,965000
Honda,City,2011,1300000,1300000
Honda,City Aspire,2013,1700000,1700000
Honda,City IDSI,2006,750000,925000
Honda,City IDSI,2008,1025000,1140000
Honda,City IVTEC,2009,1280000,1300000
Honda,City IVTEC,2010,1300000,1300000
Honda,City IVTEC,2011,1350000,1350000
Honda,City IVTEC,2012,1390000,1390000
Honda,City IVTEC,2014,1510000,1510000
Honda,City Vario,2007,975000,975000
Honda,Civic,1994,410000,425000
Honda,Civic,1998,640000,640000
Honda,Civic,2004,850000,850000
Honda,Civic,2007,1200000,1300000
Honda,Civic,2008,1100000,1250000
Honda,Civic,2009,1300000,1400000
Honda,Civic,2010,1250000,1389000
Honda,Civic,2011,1400000,1450000
Honda,Civic EXi,1995,475000,650000
Honda,Civic EXi,2004,800000,800000
Honda,Civic EXi,2005,849000,930000
Honda,Civic EXi,2006,1300000,1300000
Honda,Civic IVTEC,2009,1200000,1200000
Honda,Civic IVTEC,2011,1525000,1525000
Honda,Civic IVTEC,2014,2400000,2400000
Honda,Civic IVTEC,2015,2400000,2550000
Honda,Civic Prosmetic,2005,880000,920000
Honda,Civic VTi,2004,900000,900000
Honda,Civic VTi,2005,925000,925000
Honda,Civic VTi,2006,785000,785000
Honda,Civic VTi,2007,1150000,1400000
Honda,Civic VTi,2008,1050000,1050000
Honda,Civic VTi,2009,1445000,1445000
Honda,Civic VTi,2013,2025000,2025000
Honda,Civic VTi Oriel,2000,650000,650000
Honda,Civic VTi Oriel,2005,925000,925000
