Make,Year,Max Price
BMW,2008,5500000
Daewoo,1993,335000
Daihatsu,1984,325000
Daihatsu,1993,235000
Daihatsu,2004,450000
Daihatsu,2007,560000
Daihatsu,2012,900000
Daihatsu,2002,400000
Daihatsu,2005,485000
Daihatsu,2007,600000
Daihatsu,2008,590000
Daihatsu,2007,750000
Daihatsu,2008,950000
Daihatsu,2011,1305000
Daihatsu,2013,1050000
Daihatsu,2015,1230000
Daihatsu,2016,1325000
Daihatsu,2010,1100000
Daihatsu,2011,1095000
Daihatsu,2013,1175000
Honda,1994,725000
Honda,2002,1300000
Honda,2005,1430000
Honda,2006,2400000
Honda,2008,4300000
Honda,2013,750000
Honda,1999,600000
Honda,2002,650000
Honda,2004,825000
Honda,2005,936000
Honda,2006,900000
Honda,2007,850000
Honda,2008,965000
Honda,2011,1300000
Honda,2013,1700000
Honda,2006,925000
Honda,2008,1140000
Honda,2009,1300000
Honda,2010,1300000
Honda,2011,1350000
Honda,2012,1390000
Honda,2014,1510000
Honda,2007,975000
Honda,1994,425000
Honda,1998,640000
Honda,2004,850000
Honda,2007,1300000
Honda,2008,1250000
Honda,2009,1400000
Honda,2010,1389000
Honda,2011,1450000
Honda,1995,650000
Honda,2004,800000
Honda,2005,930000
Honda,2006,1300000
Honda,2009,1200000
Honda,2011,1525000
Honda,2014,2400000
Honda,2015,2550000
Honda,2005,920000
Honda,2004,900000
Honda,2005,925000
Honda,2006,785000
Honda,2007,1400000
Honda,2008,1050000
Honda,2009,1445000
Honda,2013,2025000
Honda,2000,650000
Honda,2005,925000
Honda,2006,1200000
Honda,2013,2100000
Honda,2014,2450000
Honda,2016,3300000
Honda,1980,850000
Honda,2004,1225000
Honda,2007,1325000
Honda,2009,1625000
Honda,2010,1600000
Honda,2011,1850000
Honda,2012,2250000
Honda,2013,19000000
Honda,2013,2100000
Honda,2014,2175000
Honda,2011,2700000
Honda,2010,1925000
Honda,2011,1250000
Honda,2012,1590000
Honda,2007,1200000
Honda,2011,2000000
Honda,2012,1925000
Honda,2011,1020000
Honda,2013,3500000
Honda,2014,3900000
Honda,2015,3520000
Hyundai,2006,460000
KIA,2003,950000
Land Rover,2006,8500000
Lexus,2011,3320000
Lexus,2009,6800000
Lexus,2004,2500000
Lexus,2008,4400000
Lexus,2000,4400000
Lexus,2010,7250000
Maserati,2008,17500000
Mazda,2011,950000
Mazda,2007,1700000
Mazda,2011,770000
Mercedes Benz,2007,3450000
Mercedes Benz,2008,4100000
Mercedes Benz,2012,5100000
Mercedes Benz,2007,3995000
Mercedes Benz,2010,7000000
Mercedes Benz,2002,3000000
Mercedes Benz,2006,8500000
Mercedes Benz,2007,12000000
Mitsubishi,1993,2499000
Mitsubishi,1997,775000
Mitsubishi,2004,950000
Mitsubishi,2005,915000
Mitsubishi,2008,950000
Mitsubishi,2010,595000
Mitsubishi,2010,995000
Nissan,2003,3000000
Nissan,2010,2200000
Nissan,2012,1450000
Nissan,2013,975000
Nissan,2009,1125000
Porsche,2006,6400000
Suzuki,2004,340000
Suzuki,2005,575000
Suzuki,2006,480000
Suzuki,2007,800000
Suzuki,2008,575000
Suzuki,2009,625000
Suzuki,2010,1000000
Suzuki,2011,675000
Suzuki,2012,1125000
Suzuki,2013,1050000
Suzuki,2015,1300000
Suzuki,2008,1550000
Suzuki,2015,715000
Suzuki,2013,800000
Suzuki,2004,450000
Suzuki,2006,721000
Suzuki,2007,875000
Suzuki,2008,800000
Suzuki,2010,850000
Suzuki,2012,825000
Suzuki,2014,1030000
Suzuki,2009,735000
Suzuki,2008,780000
Suzuki,2002,475000
Suzuki,2005,500000
Suzuki,2007,650000
Suzuki,2009,900000
Suzuki,2010,910000
Suzuki,2012,950000
Suzuki,2009,760000
Suzuki,2010,920000
Suzuki,1998,385000
Suzuki,2006,600000
Suzuki,2007,700000
Suzuki,2008,750000
Suzuki,2009,850000
Suzuki,1993,400000
Suzuki,1999,300000
Suzuki,2004,225000
Suzuki,2006,400000
Suzuki,2008,400000
Suzuki,2009,475000
Suzuki,2010,480000
Suzuki,2013,680000
Suzuki,2005,450000
Suzuki,2007,465000
Suzuki,2010,520000
Suzuki,2011,540000
Suzuki,2012,615000
Suzuki,2003,385000
Suzuki,2007,350000
Suzuki,2008,350000
Suzuki,2009,485000
Suzuki,2010,595000
Suzuki,2015,630000
Suzuki,2016,770000
Suzuki,2010,1086000
Suzuki,2011,1590000
Suzuki,2012,1195000
Suzuki,2014,1365000
Suzuki,2013,1080000
Suzuki,2015,1050000
Toyota,2008,2050000
Toyota,2015,3500000
Toyota,2012,2500000
Toyota,2013,1840000
Toyota,2006,1000000
Toyota,2012,1525000
Toyota,2006,3150000
Toyota,2013,5800000
Toyota,1991,550000
Toyota,1992,900000
Toyota,1993,650000
Toyota,1995,765000
Toyota,2000,825000
Toyota,2002,760000
Toyota,2005,950000
Toyota,2006,1300000
Toyota,2010,1350000
Toyota,2012,1450000
Toyota,2016,2200000
Toyota,2001,775000
Toyota,2006,950000
Toyota,2007,1025000
Toyota,2009,1400000
Toyota,2012,1684999
Toyota,2014,1975000
Toyota,2015,2165000
Toyota,2010,1880000
Toyota,2012,2650000
Toyota,2005,950000
Toyota,2007,1200000
Toyota,2008,1125000
Toyota,2009,1350000
Toyota,2010,1425000
Toyota,2011,1570000
Toyota,2012,1730000
Toyota,2013,1550000
Toyota,2014,1870000
Toyota,2015,2070000
Toyota,2004,950000
Toyota,1997,665000
Toyota,2001,750000
Toyota,2006,1100000
Toyota,2007,925000
Toyota,2008,1100000
Toyota,2009,1160000
Toyota,2010,1350000
Toyota,2011,1400000
Toyota,2012,1410000
Toyota,2013,1550000
Toyota,2014,1800000
Toyota,2015,1850000
Toyota,2013,12500000
Toyota,1999,1625000
Toyota,2006,2690000
Toyota,2003,1250000
Toyota,2007,1450000
Toyota,2006,4900000
Toyota,2007,6000000
Toyota,2007,3000000
Toyota,2010,4500000
Toyota,2011,4200000
Toyota,2008,1150000
Toyota,2009,975000
Toyota,2011,1190000
Toyota,2012,1260000
Toyota,1950,23000
Toyota,1992,1450000
Toyota,2005,6000000
Toyota,2010,13000000
Toyota,2011,13000000
Toyota,2012,14200000
Toyota,2013,18700000
Toyota,2014,10100000
Toyota,2011,8000000
Toyota,2004,2300000
Toyota,2005,2500000
Toyota,2006,800000
Toyota,2009,925000
Toyota,1991,1280000
Toyota,2009,6700000
Toyota,2006,2100000
Toyota,2007,2600000
Toyota,2008,2400000
Toyota,2010,1850000
Toyota,2012,3460000
Toyota,2007,1450000
Toyota,2009,2200000
Toyota,2010,1966000
Toyota,2011,2650000
Toyota,2012,3050000
Toyota,2013,2850000
Toyota,1995,4000000
Toyota,1994,1000000
Toyota,2007,4000000
Toyota,2010,6100000
Toyota,2012,6700000
Toyota,1950,2626000
Toyota,2000,650000
Toyota,2001,810000
Toyota,2003,850000
Toyota,2005,950000
Toyota,2006,850000
Toyota,2007,1000000
Toyota,2009,1175000
Toyota,2011,1575000
Toyota,2012,1879000
Toyota,2013,2665000
Toyota,2014,1700000
Toyota,2003,1250000
Toyota,2009,2350000
Volks Wagon,1980,180000
Volks Wagon,2005,1550000
Volks Wagon,2013,1875000
